Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,Fault_label
2022-05-01,15.19.26.00,Data Log,Log Period,3.6,2.4,4.4,47.0,669.0,184235.3,56004.1,44192.3,282491.9,0.0,0.0,366707.5,16228.3,75521.6,206975.7,NORMAL
2022-05-01,15.29.28.00,Data Log,Log Period,3.3,2.3,4.2,44.8,636.0,184236.1,56004.1,44192.6,282491.9,0.0,0.0,366707.9,16228.3,75521.6,206976.6,NORMAL
2022-05-01,15.39.32.00,Data Log,Log Period,2.1,2.0,4.0,44.6,602.0,184237.0,56004.1,44193.0,282491.9,0.0,0.0,366708.4,16228.3,75521.6,206977.5,NORMAL
2022-05-01,15.49.36.05,Data Log,Log Period,0.8,0.8,2.1,45.8,576.0,184237.7,56004.1,44193.3,282491.9,0.0,0.0,366708.8,16228.3,75521.7,206978.3,NORMAL
2022-05-01,15.59.40.04,Data Log,Log Period,1.9,2.1,3.3,44.3,548.0,184238.5,56004.1,44193.6,282491.9,0.0,0.0,366709.3,16228.3,75521.7,206979.2,NORMAL
2022-05-01,16.09.44.05,Data Log,Log Period,2.0,1.6,3.6,44.8,529.0,184239.2,56004.1,44193.9,282491.9,0.0,0.0,366709.7,16228.3,75521.7,206980.0,NORMAL
2022-05-01,16.19.48.00,Data Log,Log Period,0.7,0.7,1.8,45.3,411.0,184239.9,56004.1,44194.2,282491.9,0.0,0.0,366710.1,16228.3,75521.7,206980.8,NORMAL
2022-05-01,16.29.52.03,Data Log,Log Period,1.6,1.2,2.3,44.1,318.0,184240.5,56004.1,44194.5,282491.9,0.0,0.0,366710.4,16228.3,75521.7,206981.5,NORMAL
2022-05-01,16.39.56.00,Data Log,Log Period,-0.2,0.5,0.9,43.3,118.0,184240.5,56004.1,44194.5,282492.0,0.0,0.0,366710.5,16228.3,75521.7,206981.8,NORMAL
2022-05-01,16.50.00.00,Data Log,Log Period,-0.4,0.3,0.8,43.5,103.0,184240.5,56004.2,44194.5,282492.1,0.0,0.0,366710.6,16228.3,75521.7,206981.9,NORMAL
2022-05-01,17.00.04.00,Data Log,Log Period,-0.3,0.2,0.4,43.1,67.0,184240.5,56004.3,44194.5,282492.2,0.0,0.0,366710.7,16228.3,75521.7,206982.0,NORMAL
2022-05-01,17.10.08.00,Data Log,Log Period,-0.3,0.4,0.1,42.2,46.0,184240.5,56004.3,44194.5,282492.3,0.0,0.0,366710.7,16228.4,75521.7,206982.0,NORMAL
2022-05-01,17.20.10.00,Data Log,Log Period,-0.3,0.5,0.0,42.4,37.0,184240.5,56004.4,44194.5,282492.4,0.0,0.0,366710.8,16228.4,75521.7,206982.0,NORMAL
2022-05-01,17.29.21.11,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,0.4,0.0,41.9,32.0,184240.5,56004.4,44194.5,282492.5,0.0,0.0,366710.8,16228.5,75521.7,206982.0,WARNING
2022-05-01,17.30.14.00,Data Log,Log Period,0.8,0.8,0.0,41.5,32.0,184240.5,56004.4,44194.5,282492.5,0.0,0.0,366710.9,16228.5,75521.7,206982.0,NORMAL
2022-05-01,17.40.16.00,Data Log,Log Period,0.9,0.9,0.0,37.0,29.0,184240.8,56004.4,44194.5,282492.5,0.0,0.0,366711.1,16228.9,75521.7,206982.0,NORMAL
2022-05-01,17.50.16.00,Data Log,Log Period,0.8,0.8,0.0,27.4,29.0,184240.9,56004.4,44194.5,282492.5,0.0,0.0,366711.2,16229.2,75521.7,206982.0,NORMAL
2022-05-01,18.00.16.00,Data Log,Log Period,0.8,0.9,0.0,30.5,30.0,184241.0,56004.4,44194.5,282492.5,0.0,0.0,366711.3,16229.5,75521.7,206982.0,NORMAL
2022-05-01,18.10.16.00,Data Log,Log Period,0.8,0.8,0.0,30.1,31.0,184241.2,56004.4,44194.5,282492.5,0.0,0.0,366711.5,16229.8,75521.7,206982.0,NORMAL
2022-05-01,18.10.19.75,Status : Source A Stopped,SrcA Cooling Down,0.8,0.8,0.0,30.1,30.0,184241.2,56004.4,44194.5,282492.5,0.0,0.0,366711.5,16229.8,75521.7,206982.0,WARNING
2022-05-01,18.11.09.16,Status : Source A Warming Up,SrcA Startup,0.9,0.9,0.0,30.6,31.0,184241.2,56004.4,44194.5,282492.5,0.0,0.0,366711.5,16229.9,75521.7,206982.0,WARNING
2022-05-01,18.11.58.86,Status : Parallel Mode,Operation Auto Inverter Only,0.2,0.7,0.0,31.5,30.0,184241.2,56004.4,44194.5,282492.5,0.0,0.0,366711.5,16229.9,75521.7,206982.0,WARNING
2022-05-01,18.12.52.56,Status : Source A Warming Up,SrcA Startup,0.8,0.8,0.0,31.7,30.0,184241.2,56004.4,44194.5,282492.5,0.0,0.0,366711.5,16229.9,75521.7,206982.0,WARNING
2022-05-01,18.20.16.00,Data Log,Log Period,-0.3,0.5,0.0,32.4,31.0,184241.2,56004.4,44194.5,282492.6,0.0,0.0,366711.6,16230.0,75521.7,206982.0,NORMAL
2022-05-01,18.28.52.85,Status : Parallel Mode,Operation Auto Inverter Only,0.5,1.1,0.0,32.8,33.0,184241.2,56004.5,44194.5,282492.8,0.0,0.0,366711.7,16230.0,75521.7,206982.0,WARNING
2022-05-01,18.29.44.65,Status : Source A Warming Up,SrcA Startup,1.2,1.2,0.0,32.7,34.0,184241.2,56004.5,44194.5,282492.8,0.0,0.0,366711.7,16230.1,75521.7,206982.0,WARNING
2022-05-01,18.30.07.05,Status : Parallel Mode,Operation Auto Inverter Only,0.3,0.8,0.0,32.7,34.0,184241.2,56004.5,44194.5,282492.8,0.0,0.0,366711.7,16230.1,75521.7,206982.0,WARNING
2022-05-01,18.30.20.00,Data Log,Log Period,1.2,1.2,0.0,32.7,34.0,184241.2,56004.5,44194.5,282492.8,0.0,0.0,366711.7,16230.1,75521.7,206982.0,NORMAL
2022-05-01,18.30.59.54,Status : Source A Warming Up,SrcA Startup,1.1,1.1,0.0,32.6,34.0,184241.2,56004.5,44194.5,282492.8,0.0,0.0,366711.7,16230.1,75521.7,206982.0,WARNING
2022-05-01,18.37.19.74,Status : Parallel Mode,Operation Auto Inverter Only,-0.3,1.0,0.0,33.2,35.0,184241.3,56004.5,44194.5,282492.9,0.0,0.0,366711.8,16230.2,75521.7,206982.0,WARNING
2022-05-01,18.38.12.24,Status : Source A Warming Up,SrcA Startup,1.3,1.3,0.0,33.3,35.0,184241.3,56004.5,44194.5,282492.9,0.0,0.0,366711.8,16230.2,75521.7,206982.0,WARNING
2022-05-01,18.40.22.01,Data Log,Log Period,-0.3,0.8,0.0,33.0,35.0,184241.3,56004.5,44194.5,282492.9,0.0,0.0,366711.9,16230.2,75521.7,206982.0,NORMAL
2022-05-01,18.50.26.04,Data Log,Log Period,-0.3,1.0,0.0,32.6,36.0,184241.3,56004.6,44194.5,282493.1,0.0,0.0,366712.0,16230.3,75521.7,206982.0,NORMAL
2022-05-01,19.00.28.00,Data Log,Log Period,-0.3,0.8,0.0,34.7,33.0,184241.3,56004.6,44194.5,282493.3,0.0,0.0,366712.2,16230.4,75521.7,206982.0,NORMAL
2022-05-01,19.10.32.00,Data Log,Log Period,-0.3,0.8,0.0,34.6,30.0,184241.3,56004.7,44194.5,282493.5,0.0,0.0,366712.3,16230.5,75521.7,206982.0,NORMAL
2022-05-01,19.20.36.00,Data Log,Log Period,-0.3,1.0,0.0,35.5,29.0,184241.3,56004.7,44194.5,282493.7,0.0,0.0,366712.5,16230.5,75521.7,206982.0,NORMAL
